,08/09/2024,,10/09/2024,,15/09/2024,,18/09/2024,,19/09/2024,,23/09/2024,,30/09/2024,,04/10/2024,,12/10/2024,,10/10/2024,,15/10/2024,,15/10/2024,,23/10/2024,,23/10/2024,,25/10/2024,,25/10/2024,,03/11/2024,,07/11/2024,,10/11/2024,,16/11/2024,,16/11/2024,,21/11/2024,,24/11/2024,,24/11/2024,,28/11/2024,,04/12/2024,,04/12/2024,,05/12/2024,,09/12/2024,,13/12/2024,,15/12/2024,,18/12/2024,,22/12/2024,,26/12/2024,,28/12/2024,,30/12/2024,,30/12/2024,,06/01/2025,,09/01/2025,,16/01/2025,,17/01/2025,,21/01/2025,,22/01/2025,,22/01/2025,,27/01/2025,,27/01/2025,,29/01/2025,,30/01/2025,,30/01/2025,,02/02/2025,,02/02/2025,,02/02/2025,,04/02/2025,,08/02/2025,,08/02/2025,,08/02/2025,,08/02/2025,,13/02/2025,,16/02/2025,,19/02/2025,,26/02/2025,,28/02/2025,,01/03/2025,,02/03/2025,,03/03/2025,,03/03/2025,,03/03/2025,,05/03/2025,,06/03/2025,,09/03/2025,,09/03/2025,,09/03/2025,,11/03/2025,,11/03/2025,,14/03/2025,,19/03/2025,,19/03/2025,,20/03/2025,,26/03/2025,,30/03/2025,,30/03/2025,,31/03/2025,,03/04/2025,,05/04/2025,,07/04/2025,,12/04/2025,,16/04/2025,,20/04/2025,,26/04/2025,,28/04/2025,,28/04/2025,,04/05/2025,,05/05/2025,,02/05/2025,,09/05/2025,,16/05/2025,,17/05/2025,,20/05/2025,,28/05/2025,,28/05/2025,,06/06/2025,,06/06/2025,,11/06/2025,,13/06/2025,,18/06/2025,,05/07/2025,,05/07/2025,,08/07/2025,,08/07/2025,,08/07/2025,,10/07/2025,,15/07/2025,,22/07/2025,,27/07/2025,,28/07/2025,,28/07/2025,,04/08/2025,,04/08/2025,,30/08/2025,,01/09/2025,,11/09/2025,,11/09/2025,,16/09/2025,,21/09/2025,,26/09/2025,,01/10/2025,,01/10/2025,,02/10/2025,,08/10/2025,,08/10/2025,,08/10/2025,,08/10/2025,
,Jumbo,,Dirk,,Dirk,,Aldi,,Dirk,,Dirk,,Jumbo,,Dirk,,Albert Heijn,,Aldi,,Aldi,,E Sigaretshop.nl,,Albert Heijn,,Gall n Gall,,Dirk,,E-cigarette.nl,,Aldi,,E Sigaretshop.nl	,,Dirk,,Dirk,,Indian Tropical Market,,Action,,Aldi,,Indian Tropical Market,,Dirk,,Kruidvat,,Aldi,,Aldi,,Aldi,,Dirk,,Dirk,,Aldi,,Dirk,,Aldi,,Dirk,,Dirk,,Indian Tropical Market,,Aldi,,Dirk,,Aldi,,Dirk,,Jumbo,,Mabroek,,Mabroek,,Kruidvat,,Aldi,,Dirk,,Mabroek,,Mabroek,,Mabroek,,Mabroek,,Dirk,,Aldi,,Dirk,,Dirk,,Indian Tropical Market,,Mabroek,,Dirk,,Dirk,,Dirk,,Dirk,,Aldi,,Dirk,,Dirk,,Trekpleister,,Dirk,,Mabroek,,Little India,,Dirk,,Mabroek,,Mabroek,,Dirk,,Etos,,Albert Heijn to Go,,Jumbo,,Mabroek,,Dirk,,Dirk,,Dirk,,Dirk,,Jumbo,,Aldi,,Dirk,,Jumbo,,Dirk,,Dirk,,Dirk,,Dirk,,Dirk,,Dirk,,Trekpleister,,Dirk,,Jumbo,,Jumbo,,Dirk,,OnlineKabelShop,,Jumbo,,Dirk,,Aldi,,Jumbo,,Aldi,,Jumbo,,Dirk,,Jumbo,,Aldi,,Jumbo,,Jumbo,,Aldi,,Mabroek,,Mabroek,,Jumbo,,Dirk,,Jumbo,,Jumbo,,Jumbo,,Dirk,,Trekpleister,,Dirk,,Aldi,,Dirk,,Mabroek,,Dirk,,Aldi,,Dirk,,Dirk,,Aldi,,Jumbo,,Saeed’s Curry House,,Aldi,,Jumbo,,Aldi,,Jumbo,
,0.25,,17.62,,1.82,,5.87,,11.15,,5.07,,6.9,,23.18,,11.76,,7.2,,16.53,,43.25,,18.88,,15.99,,26.02,,14,,27.89,,27.5,,17.81,,33.51,,13.45,,7.05,,19,,4.6,,8.29,,9.97,,0.93,,1.93,,13.29,,25.87,,9.83,,22.76,,22.39,,16.88,,1.93,,18.32,,6.5,,5.12,,5.8,,5.35,,18.72,,1.45,,5.17,,6.95,,9.67,,9.66,,19.41,,2.89,,5.6,,1.39,,3.95,,13.99,,12.39,,16.11,,1.49,,3.5,,4.35,,17.24,,5.32,,9.41,,11.54,,5.85,,0.67,,16.03,,7.37,,26.34,,13.1,,51.39,,15.55,,4.86,,7.2,,8.17,,5.99,,3.75,,8.91,,14.3,,18.74,,9.72,,39.97,,32.57,,12.15,,20.88,,13.51,,5.47,,33.27,,21.3,,24.05,,8.66,,44.64,,16.36,,37.44,,-0.35,,33.24,,7.84,,25.19,,32.99,,23.4,,19.43,,0,39.46,16.14,,22.21,24.8,13.57,,37.43,,11.64,,8.36,,58.53,,1.93,,13.71,,21.05,,5.86,,6,,20.28,,51.33,,6.97,,14.69,,5.46,,19.46,,19.13,,11.41,,35.03,,4.52,,18.05,,10.6,,15,,10.76,,22.92,,20.94,,24.15,,6.36,,26.24,,11.49,,25.22,
Dairy & Eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greek Yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,0.500Kg,,,0.79,0.500Kg,,,,,,,,,,,,,,,,,1.49,0.500Kg,,,,,0.79,0.500L,,,,,,,,,,,,,,,,,1.49,0.500L,,,,,,,,,,,,,,,,,,,,,1.49,0.500L,,,,,,,,,,,,,,,,,0.79,0.500Kg,,,,,,,1.49,0.5Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,0.500Kg,,,1.29,0.500Kg,,,,,1.59,0.5Kg,,,,,,,,,,,1.59,0.5Kg,,,,,,,,,,,,,,,1.59,0.5Kg,,,,,,,,,1.49,0.5Kg,,,,,,,,,,,,,,
Melkan Kwark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,0.5L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skyr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,0.5Kg,,,,,3.79,1Kg,,,3.79,1Kg
Milk,,,,,0.99,0.500L,,,,,1.29,1L,,,,,,,,,0.99,1 L,,,,,,,0.97,0.500L,,,0.75,1L,,,,,,,,,,,1.19,1L,,,,,,,,,,,1.05,1L,,,,,,,,,1.09,1L,,,,,,,,,,,1.19,1L,,,,,,,,,,,,,1.09,1L,,,,,,,,,,,1.09,1L,,,,,,,,,,,,,,,1.09,1L,,,,,,,,,,,,,,,,,,,,,1.09,1L,,,,,,,,,,,,,,,1.09,1L,,,,,1.09,1L,1.09,1L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oat Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,1L,,,,,,,,,,,2.75,1L,2.89,1L,,,,,,,,,,,,,2.75,1L,,,,,,,,,,,,,,,,,,,,,,,,
Egg,,,,,,,,,,,1.29,6pcs,,,1.59,6pcs,,,,,1.43,6pcs,,,,,,,1.59,6pcs,,,1.43,6pcs,,,1.59,6pcs,1.59,6pcs,,,,,,,,,,,,,,,,,1.43,6 pcs,1.75,6 pcs,,,,,1.75,6pcs,,,,,,,,,,,,,1.43,6pcs,1.75,6pcs,,,,,,,,,1.43,6pcs,,,,,,,,,,,,,1.49,6pcs,,,,,,,,,,,,,1.49,6pcs,,,1.49,6pcs,,,,,,,,,2.25,6pcs,,,,,,,,,,,,,,,,,,,1.49,6pcs,,,1.49,6pcs,,,,,,,,,,,,,1.49,6pcs,,,,,1.49,6pcs,,,,,,,2.69,12pcs,,,,,,,,,1.49,6pcs,,,,,,,,,,,,,,,2.65,12pcs,,,,,,,,,,,3.15,12pcs,,,,,,,,,,,,,1.49,6pcs,,,,,,,2.95,12pcs,2.95,12pcs,,,,,2.95,12pcs,,,,,7.3,30pcs,,,,
Buttermilk,,,,,,,,,,,,,,,,,0.79,.5L,,,,,,,,,,,0.97,0.500L,,,,,,,0.94,1 L,,,,,,,1.88,2L,,,,,,,,,0.94,1L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,1L,,,,,0.95,1L,,,,,,,,,,
